,Client Birthdate,Client Monthly Income,Loan Start Date,Loan Due Date,Loan Amount,Loan Purpose,Client IBAN,Client Status,Paid in time
0,16/7/1979,3194.29,22/11/2014,21/10/2016,8000,radio/television,ES2422032144016887,male : single,YES
1,27/4/1949,18066.74,24/4/2013,24/4/2014,8000,radio/television,ES9964447179307395,male : single,YES
2,21/2/1972,3704.84,28/2/2013,28/6/2017,2000,vacation,CH4491224517911280,male : married/widowed,YES
3,21/7/1959,2463.64,24/11/2014,24/12/2015,1500,car (new),CH7866037656804657,female : divorced/separated/married,YES
4,11/7/1986,16969.81,26/10/2017,26/11/2017,4000,None,CH3792737827146212,female : divorced/separated/married,YES
5,23/7/1942,3282.93,15/5/2016,14/6/2017,4000,None,CH256895992590680,male : single,YES
6,10/8/1989,2970.94,9/4/2013,9/12/2014,1000,car (new),DE7293442314846257,None,YES
7,30/8/1991,2383.06,21/9/2015,21/1/2016,5000,retraining,ES8060627746688325,male : single,YES
8,13/1/1997,2722.26,19/6/2014,19/4/2016,5000,others,CH4626187312707033,None,YES
9,24/7/1945,None,30/8/2015,29/8/2017,1500,furniture/equipment,DE2413895836332602,male : married/widowed,YES
10,28/3/1941,2733.88,1/9/2013,3/5/2014,500,retraining,DE7475964554828553,male : divorced/separated,YES
11,13/2/1955,2595.12,7/5/2013,6/12/2013,3000,radio/television,FR3466709004579415,None,YES
12,11/3/1983,2375.94,27/9/2017,28/6/2019,10000,domestic appliances,DE3413683856645561,male : divorced/separated,YES
13,6/1/1955,4200.9,28/9/2016,29/6/2018,500,domestic appliances,DE5212794799724568,male : married/widowed,YES
14,21/11/1985,10806.13,14/5/2014,12/9/2015,1000,car (new),FR1690052264727496,None,YES
15,17/4/1973,4538.66,23/8/2015,23/8/2015,500,car (new),FR4612254021500179,male : single,YES
16,23/5/1989,None,4/7/2013,3/9/2013,8000,retraining,DE6474574700508092,female : divorced/separated/married,YES
17,12/12/1962,2104.66,26/8/2014,25/1/2016,8000,vacation,CH9777444060602996,female : single,YES
18,29/3/1973,1505.48,8/8/2013,8/4/2014,2000,car (new),DE3308016358276945,male : divorced/separated,YES
19,12/9/1982,2076.6,4/3/2014,3/6/2014,500,vacation,ES9376692179943953,male : married/widowed,YES
20,22/9/1995,4095.33,21/3/2016,20/9/2016,10000,radio/television,DE4870303165132559,None,YES
21,24/11/1970,1860.82,12/9/2013,12/10/2013,8000,repairs,ES8293340754391189,female : single,YES
22,3/10/1974,3088.41,1/9/2016,2/6/2017,5000,car (new),ES3012209994309068,male : single,NO
23,14/7/1993,1829.78,17/2/2016,18/7/2017,5000,vacation,ES3187586870025685,female : divorced/separated/married,YES
24,17/5/1999,3407.41,19/12/2016,19/1/2017,4000,business,ES6600648228883504,female : single,YES
25,25/2/1940,3391.25,30/7/2014,1/6/2014,5000,retraining,DE3783367163397545,male : single,YES
26,9/7/1956,4470.97,28/6/2014,28/12/2015,8000,retraining,BE4846227043032552,male : divorced/separated,YES
27,27/1/1950,4543.0,3/6/2014,24/9/2016,2000,others,ES7464499500378845,male : married/widowed,YES
28,2/9/1995,3480.13,11/2/2016,11/9/2017,4000,others,FR7242335910138897,None,YES
29,15/12/1946,2052.06,29/4/2015,28/3/2017,1500,radio/television,CH9847867651401942,male : single,YES
30,23/7/1977,4844.32,15/10/2017,15/6/2019,10000,domestic appliances,DE8976326507381111,female : divorced/separated/married,YES
31,15/12/1969,4486.39,21/1/2014,20/2/2014,500,others,BE3444841033883715,male : married/widowed,YES
32,22/4/1940,2161.54,8/3/2016,8/3/2017,8000,furniture/equipment,BE2573539354080718,male : divorced/separated,YES
33,6/2/1942,None,20/3/2017,20/3/2018,5000,car (used),ES5297748548884779,female : single,YES
34,28/6/1979,3361.42,13/1/2016,13/4/2016,4000,repairs,CH5959292180849909,female : divorced/separated/married,YES
35,31/8/1950,2653.76,10/3/2014,8/11/2014,8000,car (new),BE126809615485772,None,YES
36,21/2/1946,3658.16,28/4/2017,27/6/2017,500,business,FR1833974718003147,male : divorced/separated,YES
37,29/3/1983,2013.25,29/3/2013,28/5/2013,1500,others,CH2731636655736054,female : divorced/separated/married,YES
38,31/7/1956,4242.73,4/1/2015,6/5/2015,1500,radio/television,ES6073829308075129,None,YES
39,26/7/1977,2048.9,17/11/2015,16/11/2017,6000,others,CH4490992692372772,male : married/widowed,YES
40,15/7/1988,2725.36,11/3/2017,8/2/2019,500,business,BE4451824746035206,male : divorced/separated,YES
41,9/4/1974,None,28/10/2017,27/2/2018,3000,repairs,BE7861860012711230,female : single,YES
42,16/7/1959,1868.19,7/7/2015,7/10/2015,1500,retraining,CH1084287538872226,female : single,YES
43,27/10/1992,1710.66,13/5/2014,2/3/2015,5000,business,CH172870610522942,male : divorced/separated,YES
44,1/1/1900,None,5/10/2013,5/8/2015,1000,retraining,DE343432883880595,None,YES
45,30/3/1978,3609.6,20/2/2014,22/8/2014,4000,business,DE6102604679636929,None,YES
46,14/10/1950,3303.84,26/10/2014,26/5/2016,2000,car (new),FR5207034551492094,male : single,YES
47,5/11/1989,3763.85,26/3/2014,25/8/2015,1000,radio/television,CH2025057005771331,None,YES
48,9/3/1961,2758.58,17/7/2015,15/2/2016,1500,business,DE8027244491181578,male : single,YES
49,3/3/1953,7622.52,11/7/2015,8/1/2017,1500,car (new),CH1797616499684395,None,YES
50,4/8/1960,-1982.22,6/3/2015,5/5/2015,1000,others,DE2528630236879912,female : divorced/separated/married,YES
51,13/3/1963,2612.54,2/9/2016,1/1/2017,500,repairs,FR8570766564548665,male : divorced/separated,YES
52,15/5/1977,3442.26,11/11/2017,27/9/2014,8000,None,ES652163883050145,male : divorced/separated,YES
53,27/1/1966,3354.31,11/11/2015,11/4/2017,5000,radio/television,DE1407632488756781,None,YES
54,13/10/1961,2016.37,18/12/2015,18/4/2016,6000,others,CH621150446388190,female : single,YES
55,27/6/1949,2689.92,6/2/2014,1/10/2017,4000,car (new),FR6596833765396702,male : divorced/separated,YES
56,25/12/1958,11085.8,25/12/2017,24/1/2018,500,others,FR6578087243774179,male : divorced/separated,YES
57,14/12/1956,3407.26,15/7/2017,15/7/2017,10000,repairs,DE1799255542774903,male : married/widowed,YES
58,4/1/1993,4205.14,20/3/2015,18/8/2016,1500,others,CH5592960399712869,None,YES
59,11/10/1964,2335.78,20/7/2014,19/5/2016,10000,car (new),BE2716443371437550,female : single,YES
60,3/3/1951,-1650.13,15/6/2017,14/10/2018,500,education,DE1385492880053228,female : divorced/separated/married,YES
61,29/7/1970,818.25,21/3/2016,19/11/2017,4000,repairs,DE3464922780044028,female : single,YES
62,4/7/1973,None,22/9/2014,22/4/2016,6000,vacation,FR3602825338471720,None,YES
63,4/8/1987,3946.57,10/10/2015,9/11/2015,6000,others,DE8221276573249291,None,YES
64,15/6/1941,4146.53,4/6/2015,2/1/2017,6000,furniture/equipment,FR2528987931385671,female : divorced/separated/married,YES
65,31/8/1986,2747.28,14/4/2017,12/2/2018,2000,business,CH3171119071584830,None,YES
66,15/8/1983,2223.96,21/2/2014,22/11/2014,500,others,DE736242169242501,None,YES
67,7/5/1940,2841.41,1/12/2013,1/7/2014,4000,retraining,DE6681963165007816,female : divorced/separated/married,YES
68,15/10/1972,755.18,6/7/2016,6/8/2016,8000,education,CH7369671917853158,female : single,YES
69,16/4/1990,1635.9,26/6/2014,25/3/2016,4000,car (new),DE8436501234438525,female : single,YES
70,11/12/1969,3930.84,9/11/2013,11/3/2015,8000,car (new),BE9084086827771089,male : married/widowed,NO
71,30/4/1996,16135.39,6/3/2017,5/7/2018,3000,busines,CH3196680758536905,female : divorced/separated/married,YES
72,9/11/1953,1878.3,12/8/2015,12/11/2015,1000,vacation,FR4906574921867827,male : divorced/separated,YES
73,11/8/1958,2336.02,12/6/2014,11/6/2016,8000,others,DE7355258079942576,male : divorced/separated,YES
74,8/12/1981,4119.41,8/5/2017,8/4/2018,2000,others,ES675928653012336,male : divorced/separated,YES
75,20/3/1973,4021.3,1/1/2018,2/3/2019,1500,vacation,DE4497571912177142,female : single,YES
76,4/9/1962,2774.68,7/4/2017,7/5/2017,10000,car (new),FR7526905996820421,male : single,YES
77,29/8/1981,4032.14,30/11/2016,31/7/2018,3000,domestic appliances,DE2504207733643890,female : divorced/separated/married,YES
78,4/6/1986,3987.63,11/12/2013,18/3/2015,5000,car (new),FR8171095431828340,male : divorced/separated,YES
79,26/2/1956,3277.43,8/5/2013,7/12/2014,6000,car (used),DE6119680340296942,male : divorced/separated,None
80,2/6/1980,3683.9,30/11/2015,29/11/2017,10000,retraining,DE6891147159796172,male : single,YES
81,12/12/1946,15355.91,17/6/2015,14/1/2017,10000,domestic appliances,DE6219630222446972,female : single,YES
82,29/5/1984,2876.88,23/5/2015,21/12/2015,500,radio/television,DE7068001207802885,None,None
83,21/11/1984,3505.2,2/11/2015,1/9/2017,4000,repairs,ES9827797930709233,male : divorced/separated,YES
